Sample_Index,NCC_Value
1127,0.07120153
1128,0.07049508
1129,0.06465912
1130,0.05577378
1131,0.04344750
1132,0.03009437
1133,0.01830460
1134,0.00804422
1135,0.00276143
1136,0.00110141
1137,0.00380326
1138,0.00982326
1139,0.01709394
1140,0.02519609
1141,0.03047532
1142,0.03278847
1143,0.03190742
1144,0.02599353
1145,0.01817871
1146,0.00834137
1147,-0.00238360
1148,-0.01022713
1149,-0.01619180
1150,-0.01868342
1151,-0.01573199
1152,-0.01056284
1153,-0.00220157
1154,0.00804540
1155,0.01889282
1156,0.03001232
1157,0.03987550
1158,0.04784034
1159,0.05252260
1160,0.05362627
1161,0.05242471
1162,0.04751165
1163,0.04198266
1164,0.03536369
1165,0.02936939
1166,0.02564216
1167,0.02399560
1168,0.02461411
1169,0.02753572
1170,0.03327755
1171,0.03944668
1172,0.04583883
1173,0.05166486
1174,0.05374655
1175,0.05348511
1176,0.04930934
1177,0.04161011
1178,0.03195831
1179,0.02058613
1180,0.00912939
1181,-0.00132734
1182,-0.00898672
1183,-0.01331605
1184,-0.01435796
1185,-0.01216101
1186,-0.00796625
1187,-0.00229051
1188,0.00418170
1189,0.00972163
1190,0.01538643
1191,0.01947612
1192,0.02219041
1193,0.02439126
1194,0.02540612
1195,0.02623459
1196,0.02724193
1197,0.02829621
1198,0.02899690
1199,0.02934498
1200,0.02892167
1201,0.02828847
1202,0.02893566
1203,0.02967630
1204,0.03194902
1205,0.03497700
1206,0.03835425
1207,0.04262555
1208,0.04677780
1209,0.05194351
1210,0.05514168
1211,0.05747091
1212,0.05851604
1213,0.05733468
1214,0.05481149
1215,0.05018419
1216,0.04538321
1217,0.03862098
1218,0.03181854
1219,0.02524263
1220,0.01888082
1221,0.01465170
1222,0.01055010
1223,0.00811068
1224,0.00563236
1225,0.00492757
1226,0.00563197
1227,0.00654690
1228,0.00917079
1229,0.01126381
1230,0.01420173
1231,0.01681113
1232,0.02082049
1233,0.02527618
1234,0.02973500
1235,0.03535303
1236,0.03989819
1237,0.04536761
1238,0.05052530
1239,0.05380002
1240,0.05590998
1241,0.05567577
1242,0.05274016
1243,0.04665187
1244,0.03892599
1245,0.02931237
1246,0.01943764
1247,0.00995934
1248,0.00057018
1249,-0.00555779
1250,-0.00913939
1251,-0.00896819
1252,-0.00717867
1253,-0.00349013
1254,0.00035256
1255,0.00366330
1256,0.00520559
1257,0.00401422
1258,0.00134801
1259,-0.00361551
1260,-0.00792783
1261,-0.01146019
