goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
1.35375,0.530706,-0.655768,-0.0998475,1.96797,0.234955,1,0.67
0.716761,0.56383,-0.277272,-0.58586,1.35687,0.743496,0,1
0.362591,0.483976,0.505819,-0.642215,0.569729,0.910932,0,0.67
0.244915,0.312309,0.378638,-0.508082,0.38566,0.645161,0,0.67
0.587785,0.362124,-0.330712,-0.740951,1.03931,0.792529,0,1
1.62683,0.594049,0.29212,-0.235532,1.59484,0.334887,0,1
2.10068,0.841988,-1.05622,-0.79657,2.8625,0.806753,1,0.67
1.30596,0.828144,-1.14921,-0.364426,2.199,0.575631,1,0.67
0.918702,0.65288,-1.64342,-0.36663,1.73892,0.691339,1,0.67
0.588352,0.504221,-1.46008,-0.397716,1.48295,0.478741,1,0.67
0.305999,0.149283,-0.536228,-0.104065,0.695649,0.190928,1,0.67
0.975956,0.373647,-1.1164,-0.535398,1.51279,0.53576,1,0.67
1.52161,0.616238,0.411996,0.0757754,2.07173,0.314743,0,1
0.727266,0.716284,0.36433,-0.280141,1.39467,0.767719,0,1
0.237779,0.686211,0.51388,-0.245649,0.514314,0.93328,0,0.67
0.240102,0.490594,0.241315,-0.243532,0.313556,0.667607,0,0.67
0.527228,0.393084,-0.824922,-0.517031,1.09805,0.786486,1,0.67
1.48494,0.322793,-0.520157,-0.0820179,1.42189,0.417623,1,0.67
2.03697,0.521649,-2.25082,-0.748065,2.94977,0.780298,1,0.67
1.11761,0.593151,-1.97919,-0.555282,2.2657,0.602422,1,0.67
0.689404,0.477793,-1.7376,-0.601392,1.76028,0.697274,1,0.67
0.552498,0.331994,-1.38147,-0.450799,1.44631,0.454244,1,0.67
0.395709,0.11312,-0.203016,-0.118902,0.699393,0.1353,1,0.67
0.940462,0.413676,-0.489892,-0.441159,1.36591,0.472516,1,0.67
1.58733,0.624862,1.26981,0.183795,2.10163,0.337816,0,1
0.77872,0.833973,0.976045,0.120317,1.40112,0.791655,0,0.67
0.153755,0.865586,0.503211,0.236961,0.553207,0.947959,0,0.67
0.28204,0.587622,0.138613,0.104118,0.304234,0.691675,0,0.67
0.481767,0.580761,-1.11853,-0.191632,1.14976,0.759581,1,0.67
1.17054,0.309803,-1.23829,0.0326355,1.45652,0.450091,1,0.67
1.63628,0.353251,-2.84928,-0.515342,2.92188,0.713581,1,0.67
0.911507,0.390774,-2.18715,-0.555581,2.18715,0.556487,1,0.67
0.734216,0.357283,-1.33752,-0.663444,1.73612,0.664657,1,0.67
0.651248,0.308943,-1.00114,-0.4022,1.44309,0.425853,1,0.67
0.490635,0.112261,0.125037,-0.129684,0.771693,0.133473,0,1
0.750725,0.34048,0.327813,-0.202966,1.25055,0.36339,0,1
1.2996,0.425359,1.89633,0.28468,2.09912,0.342815,0,1
