Bit_Index,Corr_f0,Corr_f1,Decision
451,-0.22757,-0.10367,1
452,0.10944,0.05294,0
453,-0.08759,-0.05710,1
454,0.23056,0.06186,0
455,-0.11207,-0.04295,1
456,0.06166,0.01636,0
457,-0.04968,-0.00916,1
458,0.22072,0.06719,0
459,-0.05543,-0.02698,1
460,0.19959,0.08191,0
461,-0.21715,-0.13176,1
462,0.32136,0.09977,0
463,0.09649,0.06228,0
464,0.21040,0.09085,0
465,-0.43576,-0.16860,1
466,-0.20808,-0.08629,1
467,-0.13828,-0.10285,1
468,0.14091,0.05451,0
469,-0.08643,-0.01721,1
470,0.15883,0.06216,0
471,-0.10503,-0.10742,0
472,0.25980,0.05101,0
473,-0.15501,-0.01082,1
474,0.16480,0.03940,0
475,-0.16458,-0.04272,1
476,0.31347,0.14485,0
477,-0.09781,-0.05167,1
478,0.16523,0.06691,0
479,-0.36404,-0.08683,1
480,0.04658,0.05080,1
481,-0.04187,-0.04311,0
482,0.10178,0.05454,0
483,-0.23996,-0.08123,1
484,-0.02887,-0.08110,0
485,-0.26136,-0.04390,1
486,0.19293,0.07862,0
487,0.14552,0.02138,0
488,0.06657,0.02777,0
489,-0.08992,-0.04959,1
490,0.01071,-0.01744,0
491,0.07949,-0.00310,0
492,0.08754,0.08182,0
493,0.05389,0.01915,0
494,-0.09152,-0.09863,0
495,-0.00816,0.00036,1
496,0.01567,0.01519,0
497,0.07858,0.01521,0
498,0.05809,-0.02992,0
499,-0.16853,-0.06099,1
500,-0.09953,0.00212,1
501,0.03138,0.04056,1
502,-0.03457,0.05204,1
503,-0.05436,-0.03333,1
504,-0.00642,-0.01011,0
505,-0.05992,-0.01134,1
506,0.18582,0.06370,0
507,-0.02996,0.00823,1
508,-0.00729,-0.01209,0
509,-0.06404,-0.01935,1
510,0.21612,0.08353,0
511,-0.04192,-0.00138,1
512,0.05621,0.03973,0
513,-0.19138,-0.08389,1
514,0.03297,0.00828,0
515,0.12956,0.06719,0
516,0.27340,0.11921,0
517,-0.04618,-0.04897,0
518,-0.12152,-0.04734,1
519,-0.03772,-0.00523,1
520,0.00838,0.00352,0
521,0.00513,-0.01670,0
522,-0.12304,-0.05830,1
523,-0.09454,-0.03344,1
524,-0.02324,-0.00448,1
525,0.17095,0.05679,0
526,-0.02100,-0.03228,0
527,-0.11383,-0.03947,1
528,-0.01884,-0.00253,1
529,0.07562,0.03683,0
530,0.16623,0.06141,0
531,0.02167,-0.00426,0
532,-0.02982,-0.01761,1
533,0.00070,-0.00900,0
534,0.15412,0.06157,0
535,-0.00194,-0.02147,0
536,0.01920,-0.02665,0
537,-0.20775,-0.11273,1
538,-0.02464,-0.01359,1
539,0.01557,-0.00576,0
540,0.05831,0.01219,0
541,-0.15680,-0.05559,1
542,0.01932,0.01309,0
543,-0.06126,-0.00363,1
544,0.20832,0.10370,0
545,-0.01732,0.00538,1
546,0.02122,0.00959,0
547,-0.14478,-0.06077,1
548,0.13979,0.08196,0
549,-0.06784,-0.00909,1
550,0.05623,0.04634,0
551,-0.21100,-0.11664,1
552,0.08708,0.05636,0
553,-0.00193,0.01492,1
554,0.24982,0.12735,0
