correlation_f0,correlation_f1,confidence,bit
0.140615,-0.214028,1,0
0.472161,-0.323911,1,0
2.06601,-0.259402,1,0
1.53925,0.16232,0.809211,0
0.240919,0.753125,0.515275,1
-0.481704,0.743887,1,1
-0.469774,0.865256,1,1
-0.178933,1.16644,1,1
-0.0795388,1.24466,1,1
-0.51476,1.43602,1,1
-2.28318,1.05117,1,1
-0.801627,0.802053,1,1
0.400633,0.247384,0.236489,0
0.890354,0.143195,0.722906,0
0.737755,-0.0740913,1,0
0.223256,-0.379481,1,0
0.234134,-0.418059,1,0
0.916103,-0.518106,1,0
2.57026,0.00704845,0.99453,0
0.770317,0.199685,0.588279,0
-0.220157,0.627967,1,1
-0.464184,0.767928,1,1
-0.310974,0.990255,1,1
0.369603,1.29302,0.555397,1
0.220293,1.25196,0.700741,1
-0.505035,1.34411,1,1
-1.89212,0.599491,1,1
0.391636,0.589069,0.201317,1
1.03335,0.323542,0.523113,0
0.887021,0.0573973,0.878449,0
0.6688,-0.226455,1,0
-0.105795,-0.514872,0.659092,0
0.185557,-0.440811,1,0
0.952172,-0.455145,1,0
1.95593,0.293718,0.738877,0
-0.356893,0.151955,1,1
-0.645821,0.197426,1,1
-0.261756,0.437583,1,1
0.0382392,0.685709,0.894359,1
0.771305,0.852967,0.0502762,1
0.396893,0.681204,0.263715,1
-0.30501,0.628754,1,1
-0.671991,-0.133114,0.669326,1
1.52804,0.149498,0.821766,0
1.24962,0.27335,0.64103,0
0.474669,-0.0649687,1,0
0.22547,-0.316651,1,0
-0.388646,-0.401536,0.0163132,0
0.0830623,-0.24736,1,0
0.591333,-0.16915,1,0
0.41327,0.439093,0.0302957,1
-1.35557,0.0310007,1,1
-0.76648,-0.299437,0.43816,1
0.125494,-0.0516011,1,0
0.383246,0.0789947,0.65821,0
0.815895,0.0159916,0.961553,0
0.374596,-0.215072,1,0
0.070651,-0.359624,1,0
0.897555,-0.791109,1,0
1.93659,-0.373493,1,0
0.88786,0.0691752,0.855439,0
-0.175225,-0.178601,0.00954388,0
-0.266332,-0.244161,0.0434302,1
-0.417532,-0.0889463,0.648765,1
-0.0488911,0.0526108,1,1
-0.0848011,0.169734,1,1
-1.33285,0.365417,1,1
-1.74094,-0.110001,0.88114,1
-0.513559,-0.651294,0.118243,0
0.45436,-0.521925,1,0
0.484939,-0.589633,1,0
0.469351,-0.825194,1,0
0.220503,-0.987425,1,0
0.481283,-1.15221,1,0
2.03459,-1.10264,1,0
1.4528,-0.744178,1,0
0.0679383,-0.178151,1,0
-0.681598,-0.179953,0.582258,1
-0.627759,-0.0525594,0.845486,1
-0.279815,0.250873,1,1
-0.202453,0.298807,1,1
-0.686487,0.43731,1,1
-2.43867,0.151674,1,1
-1.25864,-0.152792,0.783493,1
-0.0736115,-0.733535,0.817601,0
0.546399,-0.773635,1,0
0.371765,-1.00132,1,0
-0.0198362,-1.27738,0.969417,0
-0.0386909,-1.31336,0.942767,0
0.611356,-1.45029,1,0
2.20597,-0.944938,1,0
0.361874,-0.76113,1,0
-0.676403,-0.305353,0.377946,1
-0.881233,-0.101323,0.793757,1
-0.735429,0.135058,1,1
-0.0567168,0.456087,1,1
-0.243371,0.420624,1,1
-0.950153,0.519504,1,1
-2.42068,-0.12199,0.904046,1
-0.271634,-0.171975,0.224656,1
0.396311,-0.495484,1,0
0.433818,-0.659877,1,0
0.188882,-0.910109,1,0
-0.532423,-1.15944,0.370609,0
-0.302633,-1.07273,0.559922,0
0.43417,-1.1175,1,0
1.4282,-0.335571,1,0
-0.878386,-0.426876,0.345916,1
-1.14145,-0.31004,0.572798,1
-0.770769,-0.0136878,0.965102,1
-0.507649,0.269852,1,1
0.248033,0.48949,0.327389,1
-0.114137,0.38409,1,1
-0.797184,0.365363,1,1
-1.39011,-0.377739,0.572658,1
0.79935,-0.115377,1,0
0.71512,-0.00757554,1,0
0.118303,-0.248749,1,0
-0.159394,-0.451478,0.478143,0
-0.833176,-0.53617,0.216896,1
-0.430428,-0.332676,0.128098,1
0.157166,-0.233097,1,0
0.0409393,0.428217,0.825477,1
-1.75205,0.0768045,1,1
-1.13702,-0.205629,0.693696,1
-0.245263,0.0938198,1,1
-0.0126562,0.279948,1,1
0.480213,0.298019,0.234112,0
-0.0125825,0.12807,1,1
-0.3373,0.0200527,1,1
0.298723,-0.452516,1,0
1.60783,0.0293049,0.9642,0
0.726006,0.478869,0.205114,0
-0.258499,0.275635,1,1
-0.464366,0.204974,1,1
-0.72872,0.350818,1,1
-0.347023,0.562332,1,1
-0.235149,0.734952,1,1
-1.43797,0.977037,1,1
-1.83183,0.54649,1,1
-0.587013,0.0161124,1,1
0.440088,0.183084,0.412413,0
0.46464,0.168677,0.467322,0
0.404537,-0.0556017,1,0
0.105074,-0.182548,1,0
0.331382,-0.30599,1,0
1.8795,-0.310616,1,0
1.66026,0.145303,0.839049,0
0.334056,0.726925,0.370289,1
-0.526627,0.668145,1,1
-0.498133,0.797818,1,1
-0.247095,1.09802,1,1
-0.13486,1.19232,1,1
-0.535435,1.36672,1,1
-2.27776,1.08024,1,1
-1.05194,0.794659,1,1
0.243759,0.232179,0.0243317,0
0.869084,0.1738,0.666694,0
0.672405,-0.0469443,1,0
0.234956,-0.350035,1,0
0.204816,-0.387613,1,0
0.888713,-0.473222,1,0
2.55449,-0.0512867,1,0
0.936556,0.188119,0.66547,0
-0.199794,0.647711,1,1
-0.496041,0.789099,1,1
-0.356216,1.01161,1,1
0.295354,1.32702,0.635898,1
0.101327,1.26679,0.851874,1
-0.559271,1.40319,1,1
-2.04272,0.723783,1,1
0.223267,0.688768,0.510398,1
0.920807,0.325518,0.477635,0
0.887168,0.0749185,0.844258,0
0.617915,-0.219801,1,0
-0.0635203,-0.483613,0.767807,0
0.21508,-0.422253,1,0
0.954994,-0.469776,1,0
2.07817,0.230181,0.800566,0
-0.181432,0.164266,1,1
-0.584818,0.305191,1,1
-0.279833,0.538819,1,1
-0.0166041,0.773891,1,1
0.682021,0.948262,0.16331,1
0.365941,0.805149,0.375042,1
-0.326025,0.802467,1,1
-0.906589,0.0235296,1,1
1.31671,0.233612,0.698628,0
1.2264,0.289446,0.618106,0
0.54161,-0.0358379,1,0
0.331892,-0.270817,1,0
-0.364599,-0.41791,0.0681287,0
0.093785,-0.271746,1,0
0.597608,-0.250211,1,0
0.715025,0.422593,0.257057,0
-1.21944,0.0544743,1,1
-0.737921,-0.194853,0.582207,1
0.0198252,0.0177504,0.0552184,0
0.28455,0.174369,0.240089,0
0.820802,0.168985,0.658544,0
0.44428,-0.0307807,1,0
0.00581588,-0.170544,1,0
0.618843,-0.688221,1,0
1.85682,-0.305745,1,0
0.993253,0.133059,0.763727,0
-0.0404043,-0.141454,0.555652,0
-0.172914,-0.243425,0.16936,0
-0.48858,-0.168053,0.488138,1
-0.0594302,-0.00225122,0.927005,1
0.0520881,0.115026,0.376616,1
-0.99304,0.417894,1,1
-1.71631,-0.0761447,0.915039,1
-0.595027,-0.621613,0.0218514,0
0.35334,-0.477617,1,0
0.511381,-0.478803,1,0
0.580695,-0.691136,1,0
0.293044,-0.861424,1,0
0.36811,-1.0602,1,0
1.86998,-1.08433,1,0
1.6309,-0.675879,1,0
0.294845,-0.0906998,1,0
-0.634581,-0.181843,0.554537,1
-0.577807,-0.0873261,0.737418,1
-0.368218,0.176605,1,1
-0.144425,0.278549,1,1
-0.581733,0.40071,1,1
-2.30838,0.200824,1,1
-1.46697,-0.177633,0.783982,1
-0.1527,-0.749249,0.6614,0
0.553971,-0.75387,1,0
0.46535,-0.933643,1,0
0.0262128,-1.2588,1,0
-0.0248704,-1.31312,0.962824,0
0.572699,-1.45415,1,0
2.27424,-0.989,1,0
0.637885,-0.761009,1,0
-0.569051,-0.294387,0.318104,1
-0.930102,-0.142241,0.73471,1
-0.706296,0.113735,1,1
-0.074771,0.447927,1,1
-0.228392,0.416396,1,1
-0.939575,0.507663,1,1
-2.55834,-0.103111,0.922515,1
-0.474575,-0.176655,0.457474,1
0.374385,-0.543286,1,0
0.479578,-0.707578,1,0
0.184586,-0.98775,1,0
-0.469444,-1.23126,0.447941,0
-0.255931,-1.15155,0.636327,0
0.557578,-1.19596,1,0
1.64656,-0.458003,1,0
-0.702751,-0.525277,0.144519,1
-1.12453,-0.340327,0.535345,1
-0.77298,-0.024833,0.937747,1
-0.514412,0.260486,1,1
0.230699,0.501216,0.369602,1
-0.180496,0.370055,1,1
-0.854942,0.397975,1,1
-1.59581,-0.331418,0.656067,1
0.655384,-0.117545,1,0
0.701887,-0.10425,1,0
0.137383,-0.361928,1,0
-0.125123,-0.565396,0.637596,0
-0.783813,-0.659538,0.0861017,1
-0.394805,-0.473335,0.0904579,0
0.172131,-0.433651,1,0
0.271556,0.27528,0.00681074,1
-1.66849,-0.0328891,0.961338,1
-1.12371,-0.215655,0.677974,1
-0.331764,0.0742778,1,1
-0.104866,0.276987,1,1
0.37713,0.305855,0.104357,0
-0.00123061,0.186865,1,1
-0.383543,0.106505,1,1
0.0342508,-0.438299,1,0
1.48788,-0.0217616,1,0
0.731816,0.394173,0.299863,0
-0.175449,0.187991,1,1
-0.349782,0.127238,1,1
-0.795708,0.181235,1,1
-0.392515,0.39702,1,1
-0.214307,0.547053,1,1
-1.17128,0.913899,1,1
-1.85425,0.488496,1,1
-0.68141,-0.0167736,0.951951,1
0.244024,0.129458,0.30675,0
0.361352,0.172817,0.352949,0
0.457904,0.0185852,0.921991,0
0.135541,-0.104983,1,0
0.21576,-0.257994,1,0
1.62581,-0.356533,1,0
1.67174,0.113542,0.872802,0
0.480502,0.7397,0.212422,1
-0.448543,0.648104,1,1
-0.493911,0.721869,1,1
-0.41356,0.967775,1,1
-0.177389,1.10855,1,1
-0.472703,1.294,1,1
-2.13901,1.12334,1,1
-1.27856,0.758285,1,1
0.0636476,0.178189,0.473632,1
0.778004,0.162549,0.654355,0
0.693077,0.0118724,0.966317,0
0.270757,-0.30498,1,0
0.1846,-0.359425,1,0
0.740331,-0.484546,1,0
2.53314,-0.0857661,1,0
1.1466,0.20481,0.696894,0
-0.0706379,0.712653,1,1
-0.564584,0.785116,1,1
-0.399218,1.00569,1,1
0.185224,1.32603,0.754875,1
0.14402,1.33688,0.805496,1
-0.581362,1.44059,1,1
-2.18463,0.804592,1,1
-0.0928384,0.703247,1,1
0.855508,0.337318,0.434422,0
0.936402,0.112123,0.786131,0
0.660375,-0.1806,1,0
-0.0669627,-0.484318,0.757065,0
0.176641,-0.430785,1,0
0.964646,-0.474057,1,0
2.27976,0.216529,0.82652,0
0.021688,0.184985,0.790122,1
-0.592365,0.367904,1,1
-0.371722,0.606838,1,1
-0.0598581,0.859187,1,1
0.668924,1.07019,0.230729,1
0.309017,0.917988,0.496306,1
-0.421626,0.940475,1,1
-1.17189,0.163463,1,1
1.17113,0.350582,0.539228,0
1.2266,0.332675,0.573295,0
0.617619,-0.0163703,1,0
0.323094,-0.287898,1,0
-0.33066,-0.435549,0.136893,0
0.115718,-0.29422,1,0
0.711213,-0.280689,1,0
0.961781,0.394712,0.41804,0
-1.10818,0.068568,1,1
-0.743584,-0.103372,0.755897,1
-0.0138227,0.143005,1,1
0.247626,0.309086,0.110398,1
0.776759,0.309391,0.430298,0
0.403987,0.119119,0.544571,0
-0.0522629,0.0242455,1,1
0.378543,-0.545618,1,0
1.82664,-0.196194,1,0
1.03943,0.168154,0.721504,0
0.0281915,-0.126913,1,0
-0.0582285,-0.231057,0.597432,0
-0.436778,-0.188376,0.397344,1
-0.0146666,-0.0431272,0.492451,0
0.0996715,0.0212984,0.647872,0
-0.710864,0.429782,1,1
-1.68432,-0.0543524,0.937478,1
-0.613356,-0.544446,0.0595181,1
0.287681,-0.413819,1,0
0.447945,-0.38426,1,0
0.603528,-0.569681,1,0
0.345353,-0.710346,1,0
0.342799,-0.899267,1,0
1.68695,-1.03633,1,0
1.67274,-0.650847,1,0
0.424617,-0.0476256,1,0
-0.519341,-0.156993,0.535754,1
-0.482553,-0.10022,0.656058,1
-0.412832,0.109048,1,1
-0.155648,0.221637,1,1
-0.482394,0.346847,1,1
-2.0749,0.27098,1,1
-1.52603,-0.15475,0.815859,1
-0.252649,-0.765591,0.503754,0
0.494092,-0.754933,1,0
0.489266,-0.879645,1,0
0.152593,-1.17585,1,0
0.0770137,-1.25007,1,0
0.512096,-1.44445,1,0
2.2513,-1.05887,1,0
0.828839,-0.783169,1,0
-0.367389,-0.243472,0.202856,1
-0.883339,-0.147699,0.713495,1
-0.699941,0.0675842,1,1
-0.163634,0.382334,1,1
-0.157625,0.414219,1,1
-0.857658,0.506747,1,1
-2.52563,-0.0267946,0.979005,1
-0.735748,-0.221596,0.537061,1
0.273964,-0.620894,1,0
0.513261,-0.74992,1,0
0.307491,-0.984815,1,0
-0.418239,-1.29231,0.510988,0
-0.242319,-1.23584,0.672133,0
0.514809,-1.32475,1,0
1.86518,-0.572756,1,0
-0.440659,-0.599929,0.153057,0
-1.05237,-0.349594,0.501278,1
-0.869987,-0.0791469,0.833223,1
-0.56132,0.228819,1,1
0.201122,0.498969,0.42544,1
-0.112992,0.413644,1,1
-0.881001,0.421261,1,1
-1.86007,-0.319747,0.706629,1
0.468975,-0.146161,1,0
0.714077,-0.178272,1,0
0.254403,-0.434694,1,0
-0.0673931,-0.673722,0.81813,0
